Date,GDP,
01-01-1960,1.36368E+11,
01-01-1961,1.41445E+11,
01-01-1962,1.45591E+11,
01-01-1963,1.54318E+11,
01-01-1964,1.65819E+11,
01-01-1965,1.61449E+11,
01-01-1966,1.61359E+11,
01-01-1967,1.73987E+11,
01-01-1968,1.79882E+11,
01-01-1969,1.91645E+11,
01-01-1970,2.01529E+11,
01-01-1971,2.0484E+11,
01-01-1972,2.03707E+11,
01-01-1973,2.1042E+11,
01-01-1974,2.12914E+11,
01-01-1975,2.32395E+11,
01-01-1976,2.3626E+11,
01-01-1977,2.53401E+11,
01-01-1978,2.67876E+11,
01-01-1979,2.53844E+11,
01-01-1980,2.70943E+11,
01-01-1981,2.87216E+11,
01-01-1982,2.97199E+11,
01-01-1983,3.18862E+11,
01-01-1984,3.31044E+11,
01-01-1985,3.48438E+11,
01-01-1986,3.65082E+11,
01-01-1987,3.79559E+11,
01-01-1988,4.16102E+11,
01-01-1989,4.40849E+11,
01-01-1990,4.65243E+11,
01-01-1991,4.7016E+11,
01-01-1992,4.95936E+11,
01-01-1993,5.19496E+11,
01-01-1994,5.54089E+11,
01-01-1995,5.96059E+11,
01-01-1996,6.41058E+11,
01-01-1997,6.6702E+11,
01-01-1998,7.08271E+11,
01-01-1999,7.70923E+11,
01-01-2000,8.00534E+11,
01-01-2001,8.39152E+11,
01-01-2002,8.71073E+11,
01-01-2003,9.39543E+11,
01-01-2004,1.01398E+12,
01-01-2005,1.09432E+12,
01-01-2006,1.18253E+12,
01-01-2007,1.27313E+12,
01-01-2008,1.31242E+12,
01-01-2009,1.41561E+12,
01-01-2010,1.5359E+12,
01-01-2011,1.6164E+12,
01-01-2012,1.7046E+12,
01-01-2013,1.81345E+12,
01-01-2014,1.94783E+12,
01-01-2015,2.10359E+12,
01-01-2016,2.27727E+12,
01-01-2017,2.43202E+12,
01-01-2018,2.58897E+12,
01-01-2019,2.68921E+12,
01-01-2020,2.53383E+12,
01-01-2021,2.77935E+12,
01-01-2022,2.97354E+12,
01-01-2023,3.19906E+12,
